_id,Damage,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,HOSTS ID,Insect Author,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Lab Rearing,Location
118567,in branches/trunk,Fagaceae,Castanea,crenata,,118567,Butler,Sesiidae,Sesia,rhynchioides,,,Japan
119884,,Convolvulaceae,Ipomoea,cairica,,119884,Druce,Sphingidae,Centroctena,rutherfordi,,,East Africa
119365,,Pedaliaceae,Sesamum,indicum,,119365,Linnaeus,Sphingidae,Acherontia,atropos,,,East Africa
118407,in wood,Salicaceae,Salix,,,118407,Rottemburg,Sesiidae,Paranthrene,tabaniformis,,,Nearctic
118534,,Salicaceae,Salix,,,118534,Hübner,Sesiidae,Sesia,bembeciformis,,,Finland
118572,,Fagaceae,Quercus,serrata,,118572,Bartel,Sesiidae,Sesia,scribai,,,Palaearctic
119888,,Rubiaceae,,,,119888,Linnaeus,Sphingidae,Cephonodes,hylas,,,East Africa
119367,,Solanaceae,Solanum,melongena,,119367,Linnaeus,Sphingidae,Acherontia,atropos,,,Old World
118425,in roots/stems,Rosaceae,Rubus,idaeus,,118425,Arita,Sesiidae,Pennisetia,fixseni,admirabilis,,Japan
118536,,Salicaceae,Salix,,,118536,Hübner,Sesiidae,Sesia,bembeciformis,,,Palaearctic
118577,in trunks,Fagaceae,Quercus,myrsinifolia,,118577,Bartel,Sesiidae,Sesia,scribai,,,Japan
119891,,Rubiaceae,Adina,,,119891,Linnaeus,Sphingidae,Cephonodes,hylas,,,East Africa
119371,,Solanaceae,Solanum,tuberosum,,119371,Linnaeus,Sphingidae,Acherontia,atropos,,,Southern Africa
118426,in roots/stems,Rosaceae,Rubus,crataegifolius,,118426,Leech,Sesiidae,Pennisetia,fixseni,fixseni,,Japan
118537,,Salicaceae,Salix,alba,,118537,Hübner,Sesiidae,Sesia,bembeciformis,,,Palaearctic
118584,,Salicaceae,Populus,simonii,,118584,Hsu,Sesiidae,Sesia,siningensis,,,Palaearctic
119892,,Rubiaceae,Adina,cordifolia,,119892,Linnaeus,Sphingidae,Cephonodes,hylas,,,India
119374,,Bignoniaceae,Tecoma,,,119374,Linnaeus,Sphingidae,Acherontia,atropos,,,East Africa
118445,,Rosaceae,Rubus,idaeus,,118445,Harris,Sesiidae,Pennisetia,marginata,,,Canada
118542,in trunks,Salicaceae,Salix,,,118542,Hübner,Sesiidae,Sesia,bembeciformis,,,British Isles
118597,in bark,Salicaceae,Populus,balsamifera,trichocarpa,118597,Harris,Sesiidae,Sesia,tibialis,,,USA
119893,,Rubiaceae,Burchellia,,,119893,Linnaeus,Sphingidae,Cephonodes,hylas,,,East Africa
119384,on leaves,Solanaceae,Solanum,dulcamara,,119384,Linnaeus,Sphingidae,Acherontia,atropos,,,Europe
118456,,Scrophulariaceae,Keckiella,cordifolia,,118456,Engelhardt,Sesiidae,Penstemonia,dammersi,,,Nearctic
